Ejercicio,Situacion_n,DistanciaInicioRiiesgo,DCPA_yds,Situacion,VelNudos,VelNudosContacto,Responsables,Contacto,AccionContacto,TCPA,Situacion_evaluacion,Responsable_evaluacion
149,1,2556.85,1389.68,Cruce_br,12.28,5.97,Contacto,Pesquero,Si,5.298021090532805,Cruce_br,Contacto
149,2,1741.72,1527.75,Cruce_br,11.53,10.14,Contacto,Pesquero,No,1.9199408409986745,Cruce_br si no accion cto,Contacto que no toma accion
149,3,2588.58,1986.17,Cruce_er,17.72,9.57,Barco,Motor,N/C,2.339269617652546,Cruce_er,Barco
149,4,5875.75,850.43,Vuelta_encontrada,16.64,17.0,Ambos,Motor,N/C,5.123251651298067,Vuelta_encontrada,Ambos
149,5,380.37,357.7,Cruce_er_er,11.93,0.29,Niguno,Velero,N/C,0.3137304897958283,Cruce_er_er,Niguno
149,6,1165.24,761.11,Vuelta_encontrada,11.6,10.73,Ambos,Motor,N/C,1.17077045592863,Vuelta_encontrada,Ambos
149,7,1387.19,66.62,Alcanzado,1.0,0.14,Contacto,Pesquero,Si,47.80890891692581,Alcanzado,Contacto
149,8,543.03,394.57,Alcanzando,14.22,6.92,Barco,Velero,N/C,1.5153205930968885,Alcanzando,Barco
149,9,2178.92,1956.26,Alcanzando,13.54,1.12,Barco,Velero,N/C,2.2885370882204854,Alcanzando,Barco
149,10,609.6,416.53,Cruce_br,15.8,5.88,Contacto,Pesquero,No,0.7153335269011044,Cruce_br si no accion cto,Contacto que no toma accion
149,11,3114.1,1683.48,Cruce_er_er,11.12,28.16,Niguno,Motor,N/C,2.0138348787422333,Cruce_er_er,Niguno
149,12,591.88,576.26,Cruce_er,12.77,27.77,Barco,Motor,N/C,0.1267623113075743,Cruce_er,Barco
149,13,1909.8,1831.19,Vuelta_encontrada,19.88,3.21,Ambos,Pesquero,N/C,0.6962502651881374,Vuelta_encontrada,Ambos
149,14,1716.84,1499.12,Cruce_er_er,18.09,5.35,Niguno,Velero,N/C,1.0605651791419912,Cruce_er_er,Niguno
149,15,5117.48,560.13,Cruce_br,17.94,14.02,Contacto,Pesquero,Si,7.387784129092116,Cruce_br,Contacto
149,16,300.39,133.7,Cruce_br,18.95,1.61,Contacto,Pesquero,No,0.4276956637750994,Cruce_br si no accion cto,Contacto que no toma accion
149,17,1529.29,1494.83,Cruce_br_br,14.69,34.29,Niguno,Motor,N/C,0.1966558294218448,Cruce_br_br,Niguno
149,18,1992.9,1762.93,Cruce_er_er,18.17,9.94,Niguno,Velero,N/C,0.981101171393124,Cruce_er_er,Niguno
149,19,2823.63,339.59,Cruce_br_br,14.08,7.76,Niguno,Velero,N/C,3.828240710147615,Cruce_br_br,Niguno
149,20,2706.54,1877.57,Cruce_br,11.23,10.72,Contacto,Pesquero,No,3.3108044167872697,Cruce_br si no accion cto,Contacto que no toma accion
