Ejercicio,Situacion_n,DistanciaInicioRiiesgo,DCPA_yds,Situacion,VelNudos,VelNudosContacto,Responsables,Contacto,AccionContacto,TCPA,Situacion_evaluacion,Responsable_evaluacion
139,1,2917.14,51.67,Vuelta_encontrada,12.25,4.37,Ambos,Velero,N/C,5.201535592174056,Vuelta_encontrada,Ambos
139,2,7466.37,1347.56,Alcanzado,1.0,8.24,Contacto,Velero,Si,30.03377413839812,Alcanzado,Contacto
139,3,249.07,247.9,Cruce_er_er,17.43,28.91,Niguno,Motor,N/C,0.0154586764434057,Cruce_er_er,Niguno
139,4,1319.79,1080.88,Vuelta_encontrada,16.5,11.9,Ambos,Pesquero,N/C,0.790186057700183,Vuelta_encontrada,Ambos
139,5,9025.69,748.02,Alcanzado,1.0,3.95,Contacto,Velero,No,90.20840166500766,Alcanzado si no accion cto,Contacto que no toma accion
139,6,367.49,34.21,Cruce_br_br,17.05,24.55,Niguno,Motor,N/C,0.2674089583415401,Cruce_br_br,Niguno
139,7,1100.04,719.4,Cruce_er_er,17.43,0.27,Niguno,Velero,N/C,1.394340142685128,Cruce_er_er,Niguno
139,8,1790.95,1772.82,Cruce_br_br,18.16,4.12,Niguno,Motor,N/C,0.3388941838248759,Cruce_br_br,Niguno
139,9,1745.87,1719.85,Cruce_br,18.2,2.99,Contacto,Velero,Si,0.463207507542252,Cruce_br,Contacto
139,10,7438.56,1513.33,Vuelta_encontrada,12.95,0.89,Ambos,Velero,N/C,15.595327626722822,Vuelta_encontrada,Ambos
139,11,1030.36,369.56,Alcanzado,1.0,0.36,Contacto,Pesquero,Si,44.71061357064268,Alcanzado,Contacto
139,12,8582.94,990.35,Cruce_er,10.72,4.31,Barco,Motor,N/C,20.45527399734484,Cruce_er,Barco
139,13,393.15,77.69,Cruce_br,12.86,22.74,Contacto,Motor,Si,0.4147417323587366,Cruce_br,Contacto
139,14,2521.7,1004.82,Cruce_br_br,17.97,23.89,Niguno,Motor,N/C,1.656211175881794,Cruce_br_br,Niguno
139,15,491.59,220.46,Alcanzado,16.41,24.17,Contacto,Motor,No,1.650415140705933,Alcanzado si no accion cto,Contacto que no toma accion
139,16,1951.98,1330.04,Cruce_br,17.05,6.9,Contacto,Velero,Si,2.070316086382889,Cruce_br,Contacto
