Ejercicio,Situacion_n,DistanciaInicioRiiesgo,DCPA_yds,Situacion,VelNudos,VelNudosContacto,Responsables,Contacto,AccionContacto,TCPA,Situacion_evaluacion,Responsable_evaluacion
107,1,4174.76,1870.6,Alcanzando,19.56,8.37,Barco,Velero,N/C,9.836846075752836,Alcanzando,Barco
107,2,9516.99,924.76,Cruce_er_er,15.21,4.7,Niguno,Velero,N/C,14.264978195172162,Cruce_er_er,Niguno
107,3,704.29,685.55,Cruce_er,17.88,0.0,Barco,Velero,N/C,0.2674887622677477,Cruce_er,Barco
107,4,1801.4,1670.97,Vuelta_encontrada,11.8,1.77,Ambos,Velero,N/C,1.4698150089204247,Vuelta_encontrada,Ambos
107,5,1699.11,1531.1,Cruce_br_br,15.08,1.62,Niguno,Velero,N/C,1.3076376817702966,Cruce_br_br,Niguno
107,6,3204.02,648.16,Cruce_er,15.62,7.0,Barco,Pesquero,N/C,6.259455818764934,Cruce_er,Barco
107,7,951.71,759.22,Cruce_er_er,10.29,13.63,Niguno,Pesquero,N/C,0.7192177408039314,Cruce_er_er,Niguno
107,8,3019.12,96.36,Alcanzado,1.0,7.08,Contacto,Velero,No,14.709417588396954,Alcanzado si no accion cto,Contacto que no toma accion
107,9,4142.42,607.25,Alcanzando,10.9,3.3,Barco,Velero,N/C,15.936287812576412,Alcanzando,Barco
107,10,598.02,285.83,Cruce_er_er,18.32,14.29,Niguno,Motor,N/C,0.4806180260451693,Cruce_er_er,Niguno
107,11,2625.55,86.11,Cruce_br_br,18.68,30.5,Niguno,Motor,N/C,1.5836470529427065,Cruce_br_br,Niguno
